"","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256","X257","X258","X259","X260","X261","X262","X263","X264","X265","X266","X267","X268","X269","X270","X271","X272","X273","X274","X275","X276","X277","X278","X279","X280","X281","X282","X283","X284","X285","X286","X287","X288","X289","X290","X291","X292","X293","X294","X295","X296","X297","X298","X299","X300","X301","X302","X303","X304","X305","X306","X307","X308","X309","X310","X311","X312","X313","X314","X315","X316","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X327","X328","X329","X330","X331","X332","X333","X334","X335","X336","X337","X338","X339","X340","X341","X342","X343","X344","X345","X346","X347","X348","X349","X350","X351","X352","X353","X354","X355","X356","X357","X358","X359"
"V1",0.110493,0.110533,0.113629,0.115048,0.116522,0.12054,0.122652,0.123411,0.124092,0.125319,0.117883,0.112513,0.106523,0.099595,0.089679,0.083505,0.078855,0.071786,0.063578,0.065069,0.0646,0.059561,0.059603,0.059257,0.059264,0.059831,0.057645,0.059713,0.060058,0.064997,0.067323,0.073307,0.077326,0.085226,0.093942,0.103997,0.113877,0.125159,0.139589,0.159089,0.173147,0.188374,0.197121,0.215386,0.236244,0.258466,0.281471,0.298837,0.315626,0.328355,0.342843,0.352297,0.361928,0.37544,0.389813,0.402238,0.412904,0.415678,0.4082,0.390145,0.365107,0.330287,0.296243,0.262916,0.229188,0.209209,0.189641,0.177011,0.162283,0.153558,0.142376,0.136992,0.126847,0.121497,0.113312,0.110085,0.109642,0.112764,0.118472,0.123882,0.127995,0.130771,0.13054,0.127202,0.120472,0.106102,0.091853,0.078569,0.066599,0.062843,0.063259,0.066617,0.066545,0.067062,0.062957,0.057666,0.052406,0.045805,0.042905,0.037609,0.03552,0.029843,0.02811,0.024648,0.019801,0.01851,0.015301,0.014957,0.011356,0.011847,0.009396,0.009808,0.00667,0.008268,0.006866,0.004266,0.005759,0.005416,0.004249,0.00578,0.003081,0.00472,0.006055,0.004402,0.003653,0.004989,0.005192,0.004732,0.004171,0.00317,0.004201,0.001894,0.00659,0.004353,0.002758,0.005294,0.004619,0.002624,0.005579,0.004444,0.004316,0.004459,0.004316,0.002812,0.002944,0.004369,0.005398,0.005622,0.001836,0.003651
"V2",0.046546,0.04617,0.048963,0.049111,0.048676,0.048348,0.05022,0.050236,0.05269,0.053418,0.049775,0.046138,0.043854,0.039459,0.038613,0.036061,0.033151,0.031356,0.026803,0.025096,0.025327,0.026561,0.025971,0.025291,0.025574,0.025579,0.025453,0.023823,0.023705,0.027743,0.027806,0.027908,0.03361,0.035864,0.039697,0.043053,0.046739,0.050211,0.05618,0.06739,0.073215,0.07763,0.082736,0.088725,0.097766,0.10894,0.11755,0.122471,0.131819,0.137284,0.140862,0.147136,0.149301,0.154841,0.161249,0.167003,0.168511,0.172151,0.1687,0.162123,0.152834,0.137497,0.121873,0.107733,0.094496,0.085599,0.078576,0.07257,0.066999,0.06224,0.059558,0.05795,0.050784,0.05155,0.046575,0.043699,0.044496,0.04789,0.048712,0.051005,0.055221,0.053218,0.053394,0.052202,0.053064,0.044432,0.038143,0.031225,0.027918,0.028129,0.027239,0.027811,0.027323,0.027374,0.027037,0.024093,0.021711,0.019843,0.018704,0.017051,0.015057,0.013391,0.012012,0.009841,0.005902,0.00727,0.004916,0.007112,0.004315,0.004763,0.004336,0.002932,0.004257,0.002876,-0.000613,0.002031,0.001827,0.000416,0.002437,0.000333,0.00147,0.00082,0.00191,-0.00086,0.002726,0.00132,0.001888,0.004221,0.00268,0.000648,0.00148,0.000949,0.000977,0.002297,0.002,0.00115,0.000262,0.001887,0.00053,0.002141,0.002066,0.002369,0.000491,0.002294,0.001779,0.002806,0.002358,0.002441,0.000701,0.001227
"V3",0.205297,0.209902,0.216756,0.2247,0.229873,0.233945,0.241459,0.249313,0.248251,0.246999,0.234464,0.217239,0.198357,0.182141,0.165979,0.155297,0.142306,0.13335,0.12212,0.119577,0.115027,0.11025,0.107958,0.108085,0.110344,0.108739,0.11316,0.113372,0.114783,0.114792,0.11629,0.127529,0.138977,0.155009,0.169052,0.185607,0.202295,0.224924,0.249223,0.297784,0.323779,0.352712,0.369162,0.402124,0.441762,0.483955,0.528042,0.562302,0.594377,0.617535,0.642025,0.666283,0.692133,0.727883,0.766456,0.792519,0.808344,0.810289,0.791355,0.747422,0.693373,0.629731,0.564433,0.505159,0.448421,0.406926,0.369053,0.343708,0.316566,0.297112,0.279798,0.261112,0.246577,0.232008,0.218609,0.215453,0.214168,0.219842,0.227012,0.237896,0.245854,0.250898,0.2526,0.240673,0.230198,0.2053,0.17789,0.155729,0.136573,0.128504,0.130277,0.130996,0.131161,0.131253,0.128223,0.120747,0.113125,0.104737,0.098341,0.089497,0.080611,0.073801,0.067707,0.058911,0.051284,0.047683,0.039231,0.033773,0.029567,0.024555,0.02253,0.02058,0.017248,0.016335,0.01408,0.014608,0.011658,0.010054,0.011671,0.011107,0.010413,0.011504,0.011496,0.008441,0.008927,0.009154,0.010807,0.010442,0.011226,0.009524,0.009661,0.008196,0.008571,0.008906,0.008667,0.010205,0.009781,0.008505,0.010068,0.011167,0.01161,0.011837,0.009014,0.009288,0.010598,0.01161,0.010716,0.00997,0.008495,0.01028
"V4",0.110806,0.112808,0.112736,0.114594,0.11796,0.117824,0.120374,0.123951,0.124086,0.12373,0.119022,0.112017,0.104424,0.099113,0.089999,0.083027,0.076433,0.069891,0.064437,0.060857,0.059019,0.057382,0.056886,0.057988,0.054613,0.056282,0.055178,0.056663,0.056495,0.058787,0.062,0.068073,0.073998,0.083229,0.08981,0.099082,0.10719,0.121446,0.135944,0.157923,0.170319,0.184214,0.193649,0.211979,0.232956,0.257062,0.278966,0.296296,0.315891,0.326755,0.337654,0.34995,0.357593,0.373253,0.389163,0.404977,0.415126,0.417921,0.40969,0.391667,0.367312,0.331354,0.296931,0.262519,0.229723,0.209092,0.190216,0.176204,0.162761,0.153112,0.14234,0.133621,0.124751,0.122438,0.112236,0.109108,0.108958,0.112806,0.119427,0.123524,0.127784,0.130973,0.13072,0.125978,0.119295,0.106508,0.089476,0.077319,0.066464,0.061498,0.064125,0.06464,0.065803,0.06689,0.063317,0.056159,0.050601,0.046419,0.042337,0.03875,0.03419,0.028065,0.02689,0.021661,0.018325,0.01674,0.015745,0.015593,0.012546,0.010941,0.010114,0.00954,0.006243,0.00715,0.007913,0.006174,0.005111,0.003219,0.005031,0.00445,0.005411,0.002345,0.00423,0.003252,0.004452,0.003675,0.001744,0.005183,0.005473,0.00618,0.003599,0.005198,0.004169,0.003015,0.003915,0.006138,0.004637,0.003116,0.002556,0.004406,0.005203,0.003047,0.003754,0.004639,0.002978,0.004483,0.004921,0.004409,0.002921,0.003249
"V5",0.023809,0.023476,0.022826,0.022483,0.021898,0.022567,0.022434,0.025007,0.024263,0.022594,0.024086,0.023982,0.023728,0.021795,0.018051,0.01747,0.018538,0.016817,0.014623,0.016225,0.015671,0.016322,0.013471,0.014817,0.016022,0.014812,0.015433,0.018829,0.016817,0.018537,0.016878,0.019483,0.020857,0.021428,0.025487,0.024451,0.027548,0.029664,0.035329,0.036594,0.0402,0.042383,0.044868,0.046786,0.0505,0.055379,0.058941,0.063616,0.066818,0.069617,0.070272,0.073409,0.073034,0.074242,0.072174,0.07603,0.07563,0.076958,0.076478,0.07428,0.071031,0.063311,0.057313,0.05037,0.042471,0.037406,0.03562,0.033668,0.032041,0.029626,0.026044,0.026335,0.027475,0.023393,0.022409,0.021758,0.020587,0.021734,0.022554,0.024512,0.024107,0.02416,0.025171,0.025277,0.023467,0.022026,0.017612,0.017915,0.014271,0.012744,0.011426,0.016635,0.015172,0.015045,0.012077,0.011348,0.009971,0.007551,0.006283,0.006226,0.00708,0.005935,0.004865,0.00464,0.004807,0.003371,0.003028,0.001583,0.001569,0.003403,0.001752,0.002761,0.00185,0.001661,0.00143,0.001183,7.2e-05,-0.000606,0.00173,-0.001963,3.5e-05,-0.000969,0.000297,-0.000113,0.000389,0.000811,-0.001085,0.002327,0.002209,0.001679,-0.000528,0.001666,-0.00012,0.002703,-0.000791,0.000146,0.001432,0.00048,0.000813,0.001209,-0.001228,-0.000124,0.001061,0.000358,0.000151,-1.3e-05,0.002457,-0.000883,0.001647,-5.4e-05
"V6",0.151218,0.159817,0.166843,0.173734,0.180305,0.185556,0.192171,0.19777,0.19969,0.196385,0.182221,0.165367,0.14945,0.136215,0.122164,0.113468,0.104887,0.096155,0.085983,0.085257,0.084922,0.077004,0.077187,0.076615,0.077107,0.078089,0.080249,0.080983,0.080623,0.079353,0.075782,0.085527,0.093431,0.103419,0.115452,0.126452,0.140786,0.155147,0.175777,0.216963,0.237761,0.258793,0.266978,0.292644,0.327476,0.358824,0.391533,0.417308,0.442996,0.461747,0.481617,0.506837,0.529827,0.565,0.603656,0.623107,0.639067,0.636857,0.616883,0.578108,0.529514,0.483124,0.435013,0.391482,0.348458,0.319593,0.291946,0.266457,0.244572,0.23089,0.217042,0.201774,0.187946,0.180524,0.168994,0.166314,0.165809,0.171638,0.174357,0.183982,0.191779,0.193819,0.195768,0.184985,0.175539,0.156582,0.138807,0.119165,0.105816,0.101935,0.101784,0.100752,0.101158,0.100594,0.10333,0.097264,0.094169,0.08978,0.086811,0.079949,0.073448,0.066459,0.060254,0.053775,0.046709,0.040381,0.037493,0.031522,0.026568,0.02335,0.020585,0.018869,0.016329,0.015215,0.013962,0.011799,0.011102,0.010438,0.009306,0.011736,0.009559,0.00979,0.008301,0.009404,0.007816,0.007928,0.00769,0.007884,0.007207,0.005814,0.00832,0.007356,0.008318,0.009588,0.008918,0.007967,0.007828,0.007979,0.010116,0.010917,0.010438,0.007977,0.009924,0.010743,0.010359,0.010518,0.009182,0.009456,0.008006,0.007874
"V7",0.049876,0.049987,0.051188,0.051463,0.051671,0.054037,0.052138,0.055992,0.053478,0.053741,0.055034,0.051408,0.051326,0.047376,0.044776,0.042178,0.039839,0.037636,0.037683,0.037941,0.037333,0.037046,0.035421,0.036099,0.037456,0.036789,0.039208,0.041578,0.041481,0.04405,0.044916,0.0445,0.047854,0.052506,0.053388,0.058546,0.061786,0.070297,0.076499,0.083848,0.090853,0.096315,0.101567,0.107891,0.115668,0.125249,0.132484,0.139683,0.147405,0.152188,0.156633,0.15954,0.158151,0.160754,0.160172,0.163292,0.165644,0.164183,0.160366,0.156743,0.146919,0.133623,0.119946,0.107459,0.093086,0.084394,0.078201,0.075184,0.068902,0.067446,0.060905,0.058662,0.054725,0.050873,0.050869,0.047006,0.045347,0.047295,0.049305,0.051635,0.053757,0.054161,0.054622,0.055123,0.05384,0.049523,0.042502,0.036935,0.032782,0.033013,0.032676,0.032977,0.031154,0.033448,0.031456,0.028758,0.027988,0.022615,0.020654,0.019464,0.016772,0.016371,0.015901,0.012972,0.011983,0.009687,0.008996,0.007259,0.004286,0.005126,0.002637,0.004956,0.002349,0.002573,0.001541,0.001674,0.000657,0.003776,0.002469,0.000775,0.000628,0.001104,-0.000181,0.001873,0.001585,0.002333,0.002245,0.003095,0.000882,0.001293,0.003356,0.003156,0.001526,0.00019,0.001563,0.001311,0.000736,0.00138,0.000817,-0.000903,0.00247,0.002087,0.001798,0.00256,0.003739,0.001898,0.002273,-0.001282,0.000587,0.000566
"V8",0.015196,0.017471,0.018306,0.017315,0.015378,0.015964,0.018663,0.018527,0.016635,0.018457,0.016394,0.018431,0.016446,0.015538,0.014563,0.015018,0.013845,0.011687,0.01143,0.011005,0.012167,0.012135,0.010332,0.010168,0.01171,0.010978,0.011129,0.012958,0.012769,0.012706,0.013701,0.015125,0.013456,0.015753,0.016349,0.018684,0.019526,0.021483,0.023574,0.027628,0.029231,0.031214,0.031611,0.034068,0.037229,0.03871,0.043032,0.04655,0.048804,0.049637,0.052577,0.053575,0.054097,0.053668,0.054312,0.05604,0.056054,0.055019,0.057262,0.054855,0.05152,0.047978,0.042116,0.035734,0.030307,0.029822,0.026734,0.02638,0.023355,0.022811,0.021856,0.019052,0.019307,0.016481,0.016016,0.016129,0.015809,0.016836,0.015709,0.018138,0.017997,0.018346,0.0196,0.018427,0.016645,0.017909,0.014071,0.012869,0.011379,0.010809,0.009099,0.00921,0.009828,0.009325,0.009851,0.008454,0.006084,0.009017,0.007045,0.006241,0.005918,0.005083,0.00542,0.003961,0.001609,0.001472,0.002816,0.000536,0.001927,0.001859,0.001436,0.000144,0.002107,0.002108,0.000308,0.00053,0.000822,0.000785,0.002508,0.000898,-0.000646,0.00092,0.000416,0.000972,0.000357,0.000425,0.001605,0.000466,-0.001178,-0.000175,4.2e-05,0.000726,-9.7e-05,0.000644,-0.000107,0.00036,-0.001117,0.000897,7.1e-05,0.001599,-3.9e-05,-0.000175,0.000422,0.000585,0.000934,0.001234,0.000136,9.3e-05,0.001393,0.001475
"V9",0.222852,0.227456,0.232159,0.23797,0.244854,0.247836,0.257231,0.263437,0.263869,0.264357,0.249919,0.233209,0.214927,0.20168,0.182659,0.169293,0.156999,0.145903,0.134606,0.13346,0.130659,0.124962,0.123598,0.123189,0.126257,0.125691,0.129288,0.129805,0.131661,0.134318,0.135519,0.147059,0.160553,0.173992,0.190952,0.20689,0.22678,0.253664,0.279342,0.326346,0.361016,0.389332,0.402984,0.439184,0.482383,0.52451,0.571107,0.609085,0.644841,0.667515,0.692634,0.71755,0.739967,0.773486,0.806425,0.831785,0.850924,0.852923,0.831883,0.788188,0.734222,0.663385,0.596089,0.5344,0.4718,0.430193,0.388551,0.36392,0.336295,0.317188,0.296367,0.278738,0.262813,0.246038,0.232895,0.2305,0.225123,0.234405,0.239205,0.250436,0.262669,0.266129,0.269055,0.258181,0.246431,0.219415,0.191159,0.166108,0.146024,0.139174,0.138985,0.140806,0.141841,0.140942,0.137804,0.127945,0.119207,0.111983,0.104619,0.094752,0.087168,0.079869,0.070209,0.064629,0.056215,0.049134,0.042842,0.035415,0.029516,0.026961,0.02381,0.021098,0.017892,0.016173,0.014849,0.014894,0.012125,0.011481,0.012238,0.011888,0.011522,0.009618,0.011535,0.00989,0.00896,0.009017,0.011222,0.010606,0.010996,0.008536,0.010237,0.009717,0.008792,0.007071,0.007559,0.008599,0.009934,0.010558,0.011401,0.009328,0.009506,0.010269,0.011436,0.011559,0.010538,0.011184,0.008285,0.009663,0.006412,0.00649
"V10",0.149898,0.159433,0.16648,0.172908,0.178288,0.183844,0.190367,0.197553,0.197558,0.195833,0.183579,0.166477,0.149965,0.136208,0.122368,0.113816,0.10445,0.097678,0.088932,0.086568,0.087365,0.082035,0.080126,0.078736,0.079183,0.081115,0.082087,0.081845,0.083813,0.082986,0.083584,0.089066,0.09709,0.106734,0.120774,0.131134,0.144058,0.15999,0.177669,0.218584,0.240583,0.263055,0.270602,0.296602,0.327176,0.361217,0.393599,0.419207,0.444647,0.463521,0.482721,0.507029,0.528982,0.563303,0.5973,0.61797,0.632357,0.629455,0.609111,0.568173,0.525005,0.477971,0.432276,0.388379,0.347429,0.316975,0.286945,0.265091,0.243469,0.229598,0.215293,0.203741,0.188986,0.175966,0.168696,0.166229,0.166671,0.170729,0.175037,0.18153,0.187018,0.192105,0.193894,0.185601,0.17442,0.1586,0.138614,0.124163,0.105698,0.102857,0.101718,0.102459,0.102929,0.101844,0.102602,0.096078,0.094505,0.090286,0.086336,0.077889,0.073388,0.066201,0.060412,0.054751,0.049075,0.040675,0.036699,0.031117,0.028321,0.023119,0.021604,0.018813,0.019204,0.015122,0.012388,0.011604,0.013121,0.011414,0.011284,0.009169,0.007568,0.009003,0.009656,0.00839,0.007788,0.008546,0.006366,0.008298,0.007262,0.009204,0.007507,0.00547,0.008352,0.00896,0.008454,0.008826,0.009017,0.01062,0.009136,0.009734,0.010097,0.007566,0.008202,0.008818,0.010692,0.00845,0.008006,0.008388,0.007872,0.006475
